name,desc
Nunduinë,Mittalmar River flowing west to Eldalondë
Nuneth,m. Beregar Numenor Of the House of Beor. Mother of Erendis
Nurwë,Elf
Náin,Dwarf
Náin I,Dwarf
Náin II,Dwarf
Náli,Dwarf
Nár,Dwarf
Nénar,A Star
Númendil,Man
Núneth,Man
Odo Proudfoot,Hobbit
Odovacar Bolger,Hobbit
Oghor-hai,Drugs Orc name for the Druedain
Ohtar,Man
Oin,"s. of Groin One of Bilbo's Company. One of Balin's followers. Killed at the WestGate, Moria"
Old Forest,Eriador Ancient forest between the Baranduin & Barrow Downs
Old Noakes,Hobbit
Olo Proudfoot,Hobbit 
Olvar,"The flora of Middle-earth, created by Yavanna Kementari"
Olwe,2nd Leader of the Teleri
Olwë,Elf
Olórin,"The Grey The wisest Wisest of the Maiar, living in Lórien with Irmo, learning patience and pity from Nienna. An Istar"
Ondoher,31st King of Gondor Man s. of Calimehtar 31st King of Gondor Died fighting Wainriders
Onodrim,Ents Ancient beings created as shepherds to tend the forests (See Spirits)
Orchaldor,Man 
Orcobal,Orcs
Orcrist,"Goblin-cleaver, Biter Sword from the Stone-Trolls' trove, kept by Thorin Oakenshield "
Orcs,"Yrch, Gorgun Creations of Morgoth bred in imitation of elves. Used as slaves & soldiers. Unable to stand daylight until the Uruk-hai breed (qv) appeared in the late Third Age"
Orfalch Echor,Ravine barred by the Seven Gates of the path into Gondolin
Ori,"Dwarf One of Bilbo's Company . One of Balin's followers. Killed in the Chamber of Mazarbul, Moria"
Ornendil,1st s. of Eldacar 1st s. of Eldacar  Put to death by Castamir Man
Orocarni,"Red Mountains The mountains of the East, near the lake of Helcar"
Orodreth,2nd King of Nargothrond
Orodruin,"Mount Doom, Mordor. Volcanic Mount of Red Flame. Contains the Crack of Doom in which The One Ring was forged"
Oromendil,Man
Oromë,Ainur
Orontor,Man
Oropher,"King of the Wood-Elves, Mirkwood"
Orophin,Elf Elf of Lorien
Orthanc,Fang-Mount Rohan Tower at Isengard. Saruman's stronghold in the last part of the Third Age
Osgiliath,"Gondor Former capital of Gondor, astride the Anduin between Minas Anor & Minas Ithil. Sacked by Sauron's army"
Ossiriand,"Lindon Land of the Seven Rivers east of the Ered Luin, settled by the Laiquendi"
Ossë,"Ainur Vassal of Ulmo, in command of shores and coastal shallows. Loves storms and Manwë's winds"
Ost-in-Edhil,Eriador Second Age capital of Eregion where the Rings were forged; sacked by Sauron
Ostoher,7th King of Gondor Man s. of Anardil 7th King of Gondor
Otho Sackville-Baggins,Hobbit
Otto Boffin,Hobbit
Outer Lands,The land mass of Middle-earth and beyond to the east and south
Paladin Took II,Hobbit
Palantiri,"Seeing-Stones Seven stones given to Elendil's father, Amandil, by the Eldar to watch & communicate. Set in towers at Osgiliath, Minas Ithil, Minas Anor, Amon Sul, Orthanc, Emyn Beraid (overlooking the Grey Havens) & Annuminas (by Lake Evendim)"
Pallando,Ainur The Blue
Pansy Baggins,Hobbit 
Parth Galen,"Gondor Open area west of the Anduin below Amon Hen, between Sarn Gebir & Rauros"
Paths of The Dead,Rohan/Gondor Way under the Dwimorberg / Ered Nimrais from the Dimholt to Morthond Vale & the Stone of Erech. Haunted by sleepless spirits of the army of The Dead
Pearl Took,Hobbit
Pelargir,"Gondor Port in Lebennin on the Anduin, first established by The Faithful of Numenor"
Pelendur,Man
Pelennor,Gondor Open fields before Minas Tirith surrounded by the Rammas Echor
Pelóri,Valinor's encircling Mountains of Defence
Pengolodh,Elf
Penlod,Elf
Peony Baggins,Hobbit
Peredhil,Half-Elven One descended from an Elf-Man union (eg Earendil & his sons Elros & Elrond)
Peregrin Took,Hobbit
Peregrin Took I,Hobbit
Peregrine Took,Pippin Son of Paladin. Friend of Frodo. One of the Company of The Ring. Knight of Gondor
Perianneth,"Halflings, Holbytlan Terms for Hobbits used by other peoples"
Pervinca Took,Hobbit 
Petty Dwarves,"Noegyth Nibin The first Dwarves in Beleriand, having been banished from the east. Persecuted initially by Elves; dwindled in numbers and stature. The first delvers at Nargothrond, then Amon Rudh. Died out on Mim's death."
Pimpernel Took,Hobbit 
Pinnath Gelin,"Gondor Green-hilled western Province of Gondor Green-hilled western region, north of Anfalas"
Pippin Gardner,Hobbit
Polo Baggins,Hobbit 
Ponto Baggins,Hobbit
Ponto Baggins I,Hobbit 
Ponto Baggins II,Hobbit
Poppy Chubb-Baggins,Hobbit
Poros,Gondor River from the Ephel Duath to the Anduin. The border between South Ithilien & South Gondor Gondor River from the Ephel Duath to the Anduin. The border between South Ithilien and South Gondor
Porto Baggins,Hobbit
Posco Baggins,Hobbit
Primrose Bracegirdle,Hobbit
Primrose Gardner,Hobbit 
Primula Brandybuck,Hobbit
Prisca Baggins,Hobbit
Quendi,"The Talkers The name Elves gave themselves, as nought else was perceived to speak when they first awoke"
Quenya,"High-Elvish The language of the Noldor, banned in Beleriand by Elwe, but used for formal records and tales, and among the Noldor in private"
Quest of Erebor,The attempt by Thorin Oakenshield & his dwarves to recapture the Lonely Mountain from Smaug
Radagast,"Ainur Maiar The Brown Friend of the animal world, based at Rhosgobel, near Mirkwood The Brown Friend to the Kelvar"
Radbug,An orc of the Tower of Cirith Ungol 
Radhruin,Man 
Ragnir,Man
Ragnor,Man 
Rath Celerdain,Lampwrights Street Gondor Street in the lowest circle of Gondor
Rath Dinen,"The Hallows Gondor Silent Street to the Houses (tombs) of the Kings & Stewards, Minas Tirith"
Rauros,Anduin Falls on the Anduin
Ravenhill,Rhovanion Southern spur of Erebor
Redhorn Gate,Misty Mts Pass through the Misty Mountains below Caradhras
Reginard Took,Hobbit 
Region,Southern forest of Doriath
Rhosgobel,"Rhovanion Radagast's home, on the edge of Mirkwood"
Rhovanion,"Wilderland Rhovanion Eastern region of Middle-earth in the Third Age, between the Misty Mountains & River Running"
Rhudaur,"Arnor North-eastern Kingdom of the Dunedain, between the Ettenmoors, Weather Hills & Misty Mountains plus The Angle (between the Hoarwell & Loudwater south of the Great Road)"
Rhun,"Rhun Land of the Easterlings, north of Mordor"
Rian,d. of Belegund m. Huor just before the 5th Battle Died of grief m. Huor before the 5th Battle
Ring of Barahir,Ring given by Finrod to Barahir in gratitude and as a sign of friendship between the Elves and Edain. Passed down by the Kings of the Line of Elros
Ringil,The sword of Fingolfin
Ringlo,Gondor River flowing south from the Ered Nimrais
Ringlo Vale,Lands in the province of Lamedon
Rings of Men,"Nine Rings given by Sauron to Kings of Men, who became enslaved as Ring-Wraiths"
Ringwil,Stream flowing into the Narog at Nargothrond
Rivendell,"Imladris Eriador The Last Homely House. Elrond's hidden refuge, west of the Misty Mountains"
River Running,Celduin Rhovanion River flowing from the Long Lake to the Sea of Rhun
Rivil,Stream flowing into the Sirion from Dorthonion
Rivil's Well,"Source of the Rivil, Dorthonion"
Roac,Raven. 153 year-old son of Carc. Ally of Thorin 
Robin Gardner,Hobbit 
Robin Smallburrow,Hobbit
Rochallor,Fingolfin's war-horse
Rog,Elf
Rohan,"The Mark, Riddermark Rohan Former province of Gondor (Calenardhon). Kingdom of the Rohirrim, north of the White Mountains between the Isen, Limlight, Anduin & Mering Stream (Anorien). (See Provinces of Rohan)"
Roheryn,"Aragorn's horse, from the North"
Rohirrim,"Riders of Rohan People of Rohan. Skilled horsemen from the North. Allies of Gondor, which gave them the province of Calenardhon in return for past help"
Rollo Boffin,Hobbit
Rorimac Brandybuck,Hobbit 
Rosa Baggins,Hobbit
Rosamunda Took,Hobbit
Rose,Hobbit
Rose Cotton,Hobbit
Rose Gardner,Hobbit
Rose Greenhand,Hobbit
Rosie Cotton,"Daughter of Farmer Cotton. Sam's girlfriend, later wife"
Rowan,Hobbit
Rowan Greenhand,Hobbit
Roäc,Raven
Ruby Bolger,Hobbit
Ruby Gardner,Hobbit
Rudibert Bolger,Hobbit 
Rudigar Bolger,Hobbit
Rudolph Bolger,Hobbit 
Rufus Burrows,Hobbit
Rían,Man
Rómendacil I,Man
Rómendacil II,Man
Rúmil,Elf
Rúmil of Lórien,Elf
Sadoc Brandybuck,Hobbit
Sador,Man
Saelon,Man
Saeros,"Elf Nandorin adviser to Elwe, Doriath"
Sagroth,Man
Salgant,Elf
Salmar,Ainur
Salvia Brandybuck,Hobbit
Samwise Gamgee,Hobbit
Sancho Proudfoot,Hobbit 
Sangahyando,Man
Sapphira Brockhouse,Hobbit
Saradas Brandybuck,Hobbit
Saradoc Brandybuck,Hobbit 
Sarn Athrad,Ford of Stones Ford across the Gelion used by the Dwarf Road
Sarn Ford,Eriador Crossing of the Baranduin by the fork off the Greenway to The Shire
Sarn Gebir,Anduin Stone-Spikes. Rapids on the Anduin above Tol Brandir & the Falls of Rauros
Saruman,Ainur Maiar
Sauron,"Ainur Maiar Originally Aulë's servant. The greatest of Melkor's adherents, he followed his master into the Void The Necromancer A Maiar spirit. The most powerful servant and Lieutenant of Morgoth / Melkor. Driven from Dol Guldur at the time of the Quest of Erebor, only to re-emerge in Mordor"
Scatha,Dragons The Great Worm (Dragon) of Ered Mithrin. Killed by Fram
Sea of Nurnen,Mordor Inland sea in southern Mordor
Sea of Rhun,Rhun Inland sea in Rhun fed by the River Running
Serech,Broad fenlands north of the Pass of Sirion
Seredic Brandybuck,Hobbit
Serni,"Gondor River in Lebennin, Gondor"
Shadowfax,"Gangalf's horse, one of the Mearas from Rohan"
Shagrat,"Black Uruk Orc Captain, Tower of Cirith Ungol"
Shelob,"Great Spiders Guardian of the pass at Cirith Ungol. Last child of Ungoliant, an ancient spirit who took shape as a Spider"
Shepherds of The Trees,Spirits who look after and speak for the trees and other flora (The Onodrim/Ents)
Shire,"Shire Country of the Hobbits, western Eriador The Shire & Hobbits are recent arrivals in Middle-earth. Like Elves & Men, the Hobbits came from the East, crossing the Misty Mountains about 1000 years into the Third Age qv and only settling in The Shire about half-way through the Age."
Sigismond Took,Hobbit
Silmariën,Man
Silmo,Ainur
Silverlode,"Celebrant, Lorien River flowing from Mirrormere / Kheled-zaram through Lothlorien"
Sindarin,"The language of the Sindar, adopted by Elves thoughout Beleriand for common use"
Sirannon,"Gate-stream Moria Stream flowing from above Moria Gate, now dammed, foul and perilous"
Siril,Mittalmar River flowing south from Noirinan to Nindamos
Sirion,"Aelin-Uial Treacherous marshlands where the Aros joins the Sirion Gap between the Ered Wethrin and Dorthonion through which the Sirion flowed Harbours built by the Falathrim at the Mouths of Sirion after Falas was overrun Largest river of West Beleriand, flowing south from Eithel Sirion in Ard-Galen through Brethil and Doriath to the Bay of Balar Sirion's plunge underground below the Andram Sirion's re-emergence south of the Andram"
Siriondil,11th King of Gondor Man s. of Atanatar 11th King of Gondor s. of Calimmacil
Sirith,Gondor River flowing through Lebennin to the Anduin at Pelargir
Smaug,Dragons
Sméagol,Hobbit
Snaga,"""Slave"" Lesser Orcs, sneered at by their Captains (Parth Galen and Tower of Cirith Ungol) Orcs"
Snowbourn,Rohan River flowing from Edoras to the Entwash
Sorontil,Forostar Peak on which Tar-Meneldur built an observatory
Soronto,Man s. of Ailinel & Orchaldor s. of Ailinel and Orchaldor Bypassed due to a change in the Succession Law
South Downs,"Eriador Hills south of Bree, east of the Barrow Downs"
Southfarthing,"Shire District of The Shire, famous for its tobacco"
Southrons,Swertings Swarthy people from the South. The Haradrim
Spring of Arda,"The period under the light of the Two Lamps, before Melkor's arrival"
Staddle,Eriador Hobbit village near Bree
Starkhorn,Rohan Peak above Edoras & Harrowdale Rohan Peak above Edoras and Harrowdale
Sting,First Age knife of Gondolin from the Stone-Trolls' trove. Kept by Bilbo as a Hobbit-sword . Given to Frodo
Stone of Erech,"Black stone on the Hill of Erech, South Gondor, said to have been brought from Numenor by Isildur, upon which the King of the White Mountains initially swore loyalty to Gondor Gondor Black stone from Numenor atop the Hill of Erech, brought by Isildur on founding Gondor & on which the Men of the Mountains swore loyalty to Gondor"
Stone-giants,Somewhat careless hurlers of rocks in the Misty Mountains 
Stonewain Valley,Gondor Valley between the Ered Nimrais & Druadan Forest
Strider,Aragorn Dunedain A Ranger. One of the Company of The Ring (see Aragorn)
Stybba,"Merry's pony in Rohan, as far as Edoras"
Swanfleet,Nin-in-Eilph Eriador Fens about the confluence of the Mitheithel & lower Glanduin; inhabited by swans Nin-in-Eilph Eriador Fens about the confluence of the Mitheithel and lower Glanduin; inhabited by swans
Talath Dirnen,Guarded Plain Part of the realm of Nargothrond
Taniquetil,"Oiolossë, Highest peak of the Pelóri. Site of Manwë's palace and throne"
Tanta Hornblower,Hobbit 
Tar-Alcarin,17th King of Numenor Man s. of Vanimelde and Herucalmo 17th King of Numenor
Tar-Aldarion,Anardil 6th King of Numenor. Mariner. Friend of Gil-Galad Anardil s. of Tar-Meneldur 6th King of Numenor. Mariner and friend of Gil-Galad Man
Tar-Amandil,Man
Tar-Anarion,8th King of Numenor s. of Tar-Ancalime 8th King of Numenor
Tar-Ancalimon,Man
Tar-Ancalimë,Man
Tar-Anducal,Herucalmo Took the throne on his wife's death
Tar-Anárion,Man
Tar-Ardamin,Man
Tar-Atanamir,Man
Tar-Calmacil,Man
Tar-Ciryatan,Man
Tar-Ciryatin,12th King of Numenor s. of Tar-Minastir 12th King of Numenor. Started the growth of Numenor as an empire
Tar-Elendil,Man Parmaite 4th King of Numenor Parmaite s. of Tar-Amandil 4th King of Numenor
Tar-Meneldur,Irimon 5th King of Numenor Irimon s. of Tar-Elendil 5th King of Numenor Man
Tar-Minastir,11th King of Numenor. Aided Gil-Galad Man s. of Isimo 11th King of Numenor. Sent help to Gil-Galad
Tar-Míriel,Man
Tar-Palantir,Ar-Inziladun 23rd King of Numenor. Restored faith in the Valar Ar-Inziladun s. of Ar-Gimilzor and Inzilbeth 23rd King of Numenor. Returned to faith in the Valar Man
Tar-Surion,9th King of Numenor s. of Tar-Anarion 9th King of Numenor
Tar-Súrion,Man
Tar-Telemmaitë,Man
Tar-Telperien,2nd Queen / 10th Ruler of Numenor d. of Tar-Surion 2nd Queen / 10th Ruler of Numenor. Did not marry
Tar-Telperiën,Man
Tar-Vanimeldë,Man
Tarandil,Man
Tarandor,7th King of Arnor
Tarannon,Falastur 12th King of Gondor. First Ship-King Falastur 1st s. of Siriondil 12th King of Gondor. First of the Ship-Kings. Childless Man
Tarannon Falastur,Man
Tarcil,6th King of Arnor Man
Tarciryan,2nd s. of Siriondil Man 
Tardil,Man
Tareldar,High-Elves The Elves of Aman; those who live or had lived there. (See also Elf-Lords of the Third Age)
Targon,"Gondor Soldier, Third Company, Citadel Guard (Minas Tirith) Man"
Tarlang's Neck,Gondor Pass on the road eastwards out of Morthond Vale
Tarn Aeluin,Lake in the east of Dorthonion. Site of Barahir's camp
Tarondor,27th King of Gondor Man s. of Minastan 27th King of Gondor
Tarondor of Arnor,Man
Tarostar,Man
Tasarinan,"Nan Tathren, Nan-tasarion The Vale of Willows about the joining of the Narog and Sirion"
Tata,Elf
Tatië,Elf
Taur-En-Faroth,Wooded heights at the western end of Andram beside the Narog
Taur-Nu-Fuin,"Dorthonion The dark, forbidding, pine-forested hills south of Ard-Galen"
Ted Sandyman,Hobbit
Teeth of Mordor,"Mordor Carchost & Narchost, guarding the Morannon Gate, Cirith Gorgor. Originally built to keep watch on Mordor"
Teiglin,"Fords of the River Teiglin west of Brethil River flowing from the Ered Wethrim south of Brethil to join the Sirion The deep gorges made by the Teiglin, west of Brethil"
Telchar,Dwarf
Telemnar,Man
Telimektar,Ainur
Telperion,The first of the Two Trees of Valinor. Silver light
Telumehtar,Man
Thalos,"Tributary of the Gelion, Ossiriand"
Thangorodrim,The towers built above Angband as fortifications and vents
Tharbad,Eriador Ruined Second Age town at the crossing of the Gwathlo
Thargelion,"Dor-Caranthir Caranthir's realm, north of Ossiriand between the Ered Luin and Gelion"
The Dead,"Oathbreakers Unquiet spirits of the Men of The Mountains who failed to keep their oath of loyalty to Gondor made on the Stone of Erech and sided with Sauron. Cursed by Isildur to await, under the Dwimorberg, a summons to fulfill the oath"
The King of the Dead,"Men,Undead"
The One Ring,"The Ring Forged in the Second Age by Sauron in the Sammath Naur/Crack of Doom, Orodruin, containing much of his power & being"
The Ring of Barahir,Ring worn by Aragorn. Given by Finrod of the Noldor to Barahir of the House of Beor in the First Age as a sign of friendship between Elves & Men. Kept by Kings of the Line of Elros.   (See the First Age)
The Two Trees,Telperion and Laurelin - silver and golden radiance
The Wold,"North-eastern region between the Limlight, Anduin and Entwash"
Thengel,Man Rohan King of The Mark. Father of Theoden
Theobald Bolger,Hobbit 
Theoden,"King of The Mark Rohan King of The Riddermark. Son of Thengel; uncle of Eomer and Eowyn. Killed by the Lord of The Nazgul, siege of Mundburg"
Theodred,Rohan Son of Theoden. Second Marshal of the Mark. Slain at the Battle of the Fords of Isen
Thingol,Elf
Thorin I,Dwarf
Thorin II,Dwarf
Thorin II Oakenshield,Dwarf
Thorin III,Dwarf
Thorin III Stonehelm,Dwarf
Thorin Oakenshield,s. of Thrain Leader of Bilbo's Company. Killed in the Battle of Five Armies 
Thorondir,Man
Thorondor,"Ainur Great Eagles King of Eagles. Greatest of all birds, with a wingspan of 30 fathoms (180')"
Thorondur,Man
Thorongil,Eagle of The Star  A soldier who once served as Captain of King Thengel in Rohan and Steward Ecthelion in Gondor
Thrain,"s. of Thror Killed by Sauron, Dol Guldur. (Loss of the last Dwarf-Ring)"
Thranduil,"Elf King of the Wood-Elves, Mirkwood"
Thrihyrne,"Rohan Peak in the Ered Nimrais, above Helm's Deep"
Thror,s. of Dain I Killed in Moria by Azog. (Start of the War of Dwarves & Orcs)
Thráin I,Dwarf
Thráin II,Dwarf
Thrór,Dwarf
Thuringwethil,"Sauron's messenger, a vampire bat Vampire"
Théoden,Man
Théodred,Man
Théodwyn,Man 
Tilion,"Ainur The guide of Isil, The Moon. One of Oromë's hunters. In love with Arien"
Tindómiel,Man
Tirion,"The Watch-Tower City of the Noldor, built on the hill of Tuna. Finarfin's seat"
Tobias Hornblower,Hobbit
Togo Goodbody,Hobbit 
Tol Brandir,"Anduin Island peak in the Anduin, between Amon Hen & Amon Lhaw, above Rauros Anduin Island peak in the Anduin, between Amon Hen and Amon Lhaw, above Rauros"
Tol Eressëa,"Lonely Isle Isle in the Bay of Eldamar on which the Vanyar, Noldor and Teleri were drawn across to Aman."
Tol Galen,"Green Isle Island in the River Adurant, on which Luthien and Beren lived"
Tol Morwen,"Island remnant of the wreck of Beleriand. Site of the tomb of Morwen and Turin, Cabed-en-Aras"
Tol Sirion,Tol-in-Gaurhoth Island in the Sirion in the pass between the Echoriath and Ered Wethrin. Site of Minas Tirith under Orodreth
Tol Uinen,"Arandor Island in the Bay of Rómenna, raised by Uinen. Site of Aldarion's lighthouse"
Tol-in-Gaurhoth,Isle of Werewolves The isle of Tol Sirion while under Sauron's command
Tolfalas,Gondor Island province of southern Gondor The island in the Bay of Belfalas
Tolman Cotton,Hobbit
Tolman Cotton Jr.,Hobbit
"Tolman Cotton, Jr.",Hobbit
Tolman Gardner,Hobbit 
"Tom, Bert, and William",Stone-trolls
Tosto Boffin,Hobbit
Towers of the Teeth,"Teeth of Mordor Mordor Carchost and Narchost, guarding the Morannon Gate, Cirith Gorgor. Originally built to keep watch on Mordor"
Treebeard,"Ents,Onodrim"
Trollshaws,"Rhudaur Wooded hills once inhabited by three Stone Trolls, west of Rivendell"
Tulkas,"Ainur Astaldo, The Valiant The greatest in strength. Came last to Arda to help against Melkor. Ever-merry"
Tulkastor,Elf
Tuna,"Hill east of the Calacirya, on which Tirion is built. Created by the spoil from the making of the Calacirya"
Tuor,"Man Ulmo's messenger to Turgon s. of Huor & Rian Fostered by Grey-Elves, Mithrim. Brings Ulmo's warning to Turgon Only Man allowed to join the Eldar, Valinor"
Turambar,Man
Turgon,"Elf Man The Wise Lord of Nevrast, then Gondolin"
Turin,Turambar Fostered by Thingol. An outlaw
Túrin,Man
Túrin I,Man
Túrin II,Man
Udun,"Mordor Valley where the Ephel Duath & Ered Lithui meet, between the Morannon gates & Isenmouthe"
Uffo Boffin,Hobbit 
Ufthak,"A former orc of Minas Morgul, snared by Shelob Orc"
Ugluk,Captain of a band of Saruman's Uruks. Slain in Rohan
Uglúk,Uruk-hai
Uinen,Ainur Lady of the Seas. Lives in the streams and rivers. Called upon by sailors to calm Ossë's wild waves 
Ulbar,"Man Shepherd of Emerie, turned Venturer"
Uldor,"Man s. of Ulfang Killed by Maglor, Nirnaeth Arnoediad "
Ulfang,"Led his people to Beleriand at Morgoth's suggestion Sons followed Caranthir, and betrayed the Eldar Led his people to Beleriand. Sons fought for Morgoth Man"
Ulfast,"Man s. of Ulfang Killed by the sons of Bor, Nirnaeth Arnoediad "
Ulmo,Ainur
Ulwarth,"Man s. of Ulfang Killed by the sons of Bor, Nirnaeth Arnoediad "
Undeeps - North & South,"Rhovanion Lands between the two great meanders of the Anduin, west of the Brown Lands, south of Mirkwood"
Undying Lands,"Aman, Eressëa Lands of the Valar and Elves, forbidden to Mortals"
Ungoliant,"A Spirit of lust and avarice. Took shape as a spider, hid in Avathar then Nan Dungortheb. Helped Melkor steal the Silmarils Great Spiders"
Urthel,Man 
Uruk-Hai,"Uruks Great Orcs, bred for fighting by Sauron and able to operate in daylight"
Uruloki,Fire-drakes Dragons bred by Morgoth in Angband
Urwen,Ainur
Vairë,Ainur The Weaver Weaves the tales of all things for the Houses of Mandos
Valacar,20th King of Gondor. Cause of the Kinstrife Man s. of Minalcar 20th King of Gondor.
Valacirca,"Sickle of the Valar Seven-starred constellation, placed by Varda in the northern sky as a reminder to Melkor of the power of the Valar Sickle of the Valar, Seven-starred constellation, placed in the northern sky as a reminder to Melkor of the power of the Valar"
Valandil,1st Lord of Andunie 3rd King of Arnor Man s. of Silmarien and Elatan 1st Lord of Andunie
Valandil of Andúnië,Man
Valandur,8th King of Arnor Man
Valar,"Powers of Arda The Ainur who came down to Arda as its Guardians. Their home is Valinor in the land of Aman, in the uttermost West, accessible only to Elves. They also look after the souls of slain Elves and Dwarves"
Valaraukar,Balrogs Spirits of Fire who became adherents of Melkor. Most perished in the War of Wrath Balrogs The Maiar spirits of fire who gave their allegiance to Melkor Spirits of Fire who became adherents of Melkor. Most perished in the War of Wrath
Vale of Anduin,Rhovanion The lands either side of the Anduin between the Misty Mountains & Mirkwood
Valinor,Guarded Realm Homeland of the Valar within Aman
Varda,"Ainur Elbereth, Gilthoniel Queen of the Valier. Creator of the stars, hence the Elves' reverence for her. (Star Queen / Star-Kindler) Elentári Queen of The Stars. Lives with Manwë in the tower of Oilossë, Mount Taniquetil"
Vardamir,Man
Vardamir Nólimon,Man
Vardilmë,Man
Veantur,Captain of Ships under Tar-Elendil. Reached Mithlond in SA600. Grandfather of Tar-Aldarion
Venturers,"The Numenorean Mariners' League, founded by Aldarion"
Vidugavia,Man
Vidumavi,Man
Vilya,Ring of Air Sapphire. Held by Elrond. Given to him by Gil-Galad
Vingilot,"Rothinzil Foam-Flower. Earendil's ship, built with Cirdan in Sirion"
Vorondil,Man
Voronwe,Surviving messenger sent by Turgon to Aman. Tuor's guide into Gondolin
Voronwë,Elf
Vána,Ainur The Ever-young Sister of Yavanna. Loves flowers and birds
Vëantur,Man
Walda,Man
War of Wrath,"Great Battle Final Battle of Beleriand. The Host of the Valar (including Vanyar) invade Beleriand, destroy Thangorodrim and Angband, and expel Melkor into the void. Unfortunately Sauron, some Uruloki and the odd Valarauka survive, whilst Beleriand does not"
Wargs,Large unfriendly wolf-like beasts. Normally only found East of the Misty Mts
Watcher in the Water,Urulóki
Weather Hills,Arnor Hills north-east of Bree
Weathertop,"Amon Sul, Hill of Wind Arnor Summit at the southern end of the Weather Hills above the Great East Road"
Wellinghall,Fangorn Treebeard's home in the Forest of Fangorn
Westfold,"Rohan Westernmost province of Rohan The western Province, guarding the Gap of Rohan at the River Isen"
Westfold Vale,"Deeping-Coomb Rohan Valley in west Rohan, guarded by the Hornburg & Helm's Dike Valley in west Rohan, guarded by the Hornburg"
White House,Emerië Erendis' rural retreat
White Tower,Tower of Ecthelion Gondor See Gondor's Towers below
Widfara,Rohan Scout with Theoden's army
Wilcome Cotton I,Hobbit
Wilcome Cotton II,Hobbit
Wilibald Bolger,Hobbit
Wilimar Bolger,Hobbit 
Will Whitfoot,Mayor of The Shire 
Willie Banks,Hobbit
Windfola,"Horse of Rohan, ridden by Dernhelm and Merry"
Wiseman Gamwich,Hobbit
Witch-king,Man
Witch-king of Angmar,"Men,Wraith"
Withered Heath,Rhovanion Devastated land between the Grey Mountains & Iron Hills
Withywindle,Eriador River through the Old Forest; tributary of the Baranduin
Wold,"Rohan Northern Province of Rohan between the Limlight, Anduin & Entwash"
Wulf,"Man Rohan Son of Freca, of part Dunlendish blood. Led the invasion of Rohan in TA 2758 and captured Edoras. Killed by Frealaf"
Wulf I,Man
Wídfara,Man
Yavanna,Ainur Kementári Queen of The Earth. Creator of living things (Kelvar and Olvar). Sister of Vána
Yávien,Man
Zamîn,Man
Zirakzigil,"Celebdil, Silvertine Misty Mts One of the Mountains of Moria Celebdil, The White, Silvertine Misty Mts One of the Mountains of Moria"
bal,Man
in,Dwarf
mar,Ainur
ofor,Man
omer,Man
omund,Man
othain,Man
owyn,Man
rildë,Man
rimë,Elf
Éomund,Man
Éothain,Man
Éowyn,Man
Írildë,Man
Îbal,Man
Óin,Dwarf
Aika-nār,Name in Primitive Elvish: Fell Fire
Ámān,Name in Primitive Elvish: Unmarred State
arāt-chír,Name in Primitive Elvish: Noble Lord
Bali(a)nōrē,Name in Primitive Elvish: Valian folk
Denethara,Name in Primitive Elvish: lithe-and-lank ⇐ dene + thara²
Denwego,Name in Primitive Elvish
Eldăkāzā,Name in Primitive Elvish
Eled-nil,Name in Primitive Elvish: lover of the Elves
Elendīl,Name in Primitive Elvish: Star-lover
Elmō,Name in Primitive Elvish: Venus ⇐ EL + mō
Enel,Name in Primitive Elvish: Three
Enelye,Name in Primitive Elvish
Etelo-ndor,Name in Primitive Elvish
etlā-ndŏrē,Name in Primitive Elvish: Eglador
findarātō,Name in Primitive Elvish
Gala(da)ndil,Name in Primitive Elvish: Lover of Trees
Gillingalati,"Name in Primitive Elvish: radiant stars, Gil-galad ⇐ ñgillē + ñ(g)alatā"
Gondō̆-lindē,Name in Primitive Elvish
Gondo-ndor-,Name in Primitive Elvish: Stone-land
hekla,Name in Primitive Elvish: any thing (or person) put aside from or left out from its normal company
hekla-mbar,Name in Primitive Elvish: Eglamar
hekla-rista,Name in Primitive Elvish: Eglarest
χīþilōmē,Name in Primitive Elvish: Hithlum
Imin,Name in Primitive Elvish: One
Iminye,Name in Primitive Elvish
Īthē,Name in Primitive Elvish
Kalatāna,Name in Primitive Elvish
Kalayondo,Name in Primitive Elvish
Karani-stīrē,Name in Primitive Elvish
Kelec-orna,Name in Primitive Elvish: Swift-tall ⇐ ᴹ√KYELEK + ornā
Laware-nde,Name in Primitive Elvish
Lindānā,Name in Primitive Elvish: Lindon
maka-glawar,Name in Primitive Elvish
Malaphinde,Name in Primitive Elvish: Goldlocks ⇐ MAL + phindē
Mandostŏ,Name in Primitive Elvish
Mbartanō,Name in Primitive Elvish: World-artificer ⇐ mbar(ă) + tamō
Mbelekōre,Name in Primitive Elvish: Might(y) Arising ⇐ (m)belek- + #ōre
Melyanna,Name in Primitive Elvish: Dear Gift ⇐ MEL + annā
mi-srawanwe,Name in Primitive Elvish: put into flesh
Moriñgotho,Name in Primitive Elvish: Black Foe
Mornyā,Name in Primitive Elvish: Black Pit
nāba-grota,Name in Primitive Elvish
nēn-talma,"Name in Primitive Elvish: Wetwang, Nindalf"
Neresā,Name in Primitive Elvish: she that has manlike valour or strength
Ñ(g)alatā-rigelle,Name in Primitive Elvish: maiden crowned with a garland of radiance ⇐ ñ(g)alatā + rigelle
ñgor(o)-thūsō,Name in Primitive Elvish: Mist of Fear
Nōwē,Name in Primitive Elvish: Círdan
